Click here to return to Index,,,,,,,,,
,,,,,,,,,
Asthma Prevalence: Lifetime and current asthma prevalence (and associated 95% confidence intervals) for California and each county  ,,,,,,,,,
,,,,,,,,,
County,Year,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval,Comment
Alameda,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.30%,(10.7 17.9),14.80%,(14.0 15.7),None
Alpine,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.70%,(7.8 21.6),14.80%,(14.0 15.7),None
Calaveras,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.00%,(7.4 20.5),14.80%,(14.0 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2015 2016,Lifetime asthma prevalence,Total population,All ages,20.70%,(13.8 27.6),14.80%,(14.0 15.7),None
Del Norte,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2015 2016,Lifetime asthma prevalence,Total population,All ages,25.20%,(12.5 37.8),14.80%,(14.0 15.7),None
Fresno,2015 2016,Lifetime asthma prevalence,Total population,All ages,16.30%,(10.7 22.0),14.80%,(14.0 15.7),None
Glenn,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.00%,(7.4 20.5),14.80%,(14.0 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.10%,(7.4 28.8),14.80%,(14.0 15.7),None
Imperial,2015 2016,Lifetime asthma prevalence,Total population,All ages,15.10%,(9.6 20.7),14.80%,(14.0 15.7),None
Inyo,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2015 2016,Lifetime asthma prevalence,Total population,All ages,23.70%,(16.4 31.0),14.80%,(14.0 15.7),None
Kings,2015 2016,Lifetime asthma prevalence,Total population,All ages,26.70%,(16.5 36.8),14.80%,(14.0 15.7),None
Lake,2015 2016,Lifetime asthma prevalence,Total population,All ages,21.40%,(13.0 29.9),14.80%,(14.0 15.7),None
Lassen,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2015 2016,Lifetime asthma prevalence,Total population,All ages,12.70%,(11.0 14.3),14.80%,(14.0 15.7),None
Madera,2015 2016,Lifetime asthma prevalence,Total population,All ages,17.10%,(9.2 25.1),14.80%,(14.0 15.7),None
Marin,2015 2016,Lifetime asthma prevalence,Total population,All ages,10.80%,(7.8 13.7),14.80%,(14.0 15.7),None
Mariposa,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2015 2016,Lifetime asthma prevalence,Total population,All ages,16.50%,(8.7 24.4),14.80%,(14.0 15.7),None
Merced,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.40%,(9.5 27.3),14.80%,(14.0 15.7),None
Modoc,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2015 2016,Lifetime asthma prevalence,Total population,All ages,12.40%,(6.6 18.2),14.80%,(14.0 15.7),None
Napa,2015 2016,Lifetime asthma prevalence,Total population,All ages,20.10%,(10.8 29.3),14.80%,(14.0 15.7),None
Nevada,2015 2016,Lifetime asthma prevalence,Total population,All ages,10.70%,(4.6 16.8),14.80%,(14.0 15.7),None
Orange,2015 2016,Lifetime asthma prevalence,Total population,All ages,12.80%,(9.1 16.4),14.80%,(14.0 15.7),None
Placer,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.80%,(7.9 21.6),14.80%,(14.0 15.7),None
Plumas,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Riverside,2015 2016,Lifetime asthma prevalence,Total population,All ages,15.50%,(11.0 20.1),14.80%,(14.0 15.7),None
Sacramento,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.80%,(14.0 23.6),14.80%,(14.0 15.7),None
San Benito,2015 2016,Lifetime asthma prevalence,Total population,All ages,13.40%,(5.8 20.9),14.80%,(14.0 15.7),None
San Bernardino,2015 2016,Lifetime asthma prevalence,Total population,All ages,15.90%,(12.7 19.2),14.80%,(14.0 15.7),None
San Diego,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.10%,(11.9 16.2),14.80%,(14.0 15.7),None
San Francisco,2015 2016,Lifetime asthma prevalence,Total population,All ages,15.00%,(9.2 20.7),14.80%,(14.0 15.7),None
San Joaquin,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.30%,(9.1 19.5),14.80%,(14.0 15.7),None
San Luis Obispo,2015 2016,Lifetime asthma prevalence,Total population,All ages,11.10%,(5.5 16.8),14.80%,(14.0 15.7),None
San Mateo,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.00%,(12.4 23.7),14.80%,(14.0 15.7),None
Santa Barbara,2015 2016,Lifetime asthma prevalence,Total population,All ages,13.00%,(4.9 21.2),14.80%,(14.0 15.7),None
Santa Clara,2015 2016,Lifetime asthma prevalence,Total population,All ages,11.70%,(8.3 15.1),14.80%,(14.0 15.7),None
Santa Cruz,2015 2016,Lifetime asthma prevalence,Total population,All ages,19.20%,(12.6 25.8),14.80%,(14.0 15.7),None
Shasta,2015 2016,Lifetime asthma prevalence,Total population,All ages,12.10%,(6.9 17.2),14.80%,(14.0 15.7),None
Sierra,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2015 2016,Lifetime asthma prevalence,Total population,All ages,21.40%,(13.1 29.8),14.80%,(14.0 15.7),None
Sonoma,2015 2016,Lifetime asthma prevalence,Total population,All ages,16.30%,(8.6 24.1),14.80%,(14.0 15.7),None
Stanislaus,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.80%,(11.4 26.2),14.80%,(14.0 15.7),None
Sutter,2015 2016,Lifetime asthma prevalence,Total population,All ages,18.40%,(5.2 31.5),14.80%,(14.0 15.7),None
Tehama,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.00%,(7.4 20.5),14.80%,(14.0 15.7),"Colusa, Glenn, and Tehama counties combined for analysis."
Trinity,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.60%,(4.8 24.5),14.80%,(14.0 15.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Tulare,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.70%,(9.8 19.6),14.80%,(14.0 15.7),None
Tuolumne,2015 2016,Lifetime asthma prevalence,Total population,All ages,14.20%,(7.2 21.1),14.80%,(14.0 15.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Ventura,2015 2016,Lifetime asthma prevalence,Total population,All ages,15.10%,(11.1 19.1),14.80%,(14.0 15.7),None
Yolo,2015 2016,Lifetime asthma prevalence,Total population,All ages,17.20%,(5.3 29.1),14.80%,(14.0 15.7),None
Yuba,2015 2016,Lifetime asthma prevalence,Total population,All ages,20.20%,(12.6 27.7),14.80%,(14.0 15.7),None
Alameda,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,18.40%,(6.2 30.6),14.50%,(12.2 16.8),None
Alpine,2015 2016,Lifetime asthma prevalence,Child vs. adult,0 17 years,Not available,Not available,14.50%,(12.2 16.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
