State,County,Year_x,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Year_y,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Total population,All ages,9.1,(5.9 12.2),8.70%,(8.1 9.3)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,15.1,(3.9 26.4),10.10%,(8.2 12.0)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,7.3,(4.0 10.7),8.30%,(7.7 8.9)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Age group,5 17 years,19.4,(2.9 35.9),12.30%,(9.7 14.9)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Age group,18 64 years,7.1,(3.7 10.5),8.10%,(7.4 8.9)
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Total population,All ages,9.1,(5.9 12.2),8.70%,(8.1 9.3)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,15.1,(3.9 26.4),10.10%,(8.2 12.0)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Child vs. adult,18+ years,7.3,(4.0 10.7),8.30%,(7.7 8.9)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Age group,0 4 years,,,4.50%,(2.3 6.6)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Age group,5 17 years,19.4,(2.9 35.9),12.30%,(9.7 14.9)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Age group,18 64 years,7.1,(3.7 10.5),8.10%,(7.4 8.9)
California,Alameda,2016,366,239,112,13,2,0,0,154,74,44,0,15,214,137,0,2015 2016,Current asthma prevalence,Age group,65+ years,,,9.20%,(8.0 10.4)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Total population,All ages,9.3,(4.1 14.6),8.70%,(8.1 9.3)
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,2015 2016,Current asthma prevalence,Child vs. adult,0 17 years,,,10.10%,(8.2 12.0)
